,Age,Sex,BP,Cholesterol,Na_to_K,Drug
0,True,True,True,True,True,DrugY
1,True,True,True,True,True,drugC
2,True,True,True,True,True,drugC
3,True,True,True,True,True,drugX
4,True,True,True,True,True,DrugY
5,True,True,True,True,True,drugX
6,True,True,True,True,True,DrugY
7,True,True,True,True,True,drugC
8,True,True,True,True,True,DrugY
9,True,True,True,True,True,DrugY
10,True,True,True,True,True,drugC
11,True,True,True,True,True,DrugY
12,True,True,True,True,True,DrugY
13,True,True,True,True,True,DrugY
14,True,True,True,True,True,drugX
15,True,True,True,True,True,DrugY
16,True,True,True,True,True,drugX
17,True,True,True,True,True,drugA
18,True,True,True,True,True,drugC
19,True,True,True,True,True,DrugY
20,True,True,True,True,True,DrugY
21,True,True,True,True,True,DrugY
22,True,True,True,True,True,DrugY
23,True,True,True,True,True,DrugY
24,True,True,True,True,True,DrugY
25,True,True,True,True,True,DrugY
26,True,True,True,True,True,DrugY
27,True,True,True,True,True,drugX
28,True,True,True,True,True,DrugY
29,True,True,True,True,True,DrugY
30,True,True,True,True,True,drugX
31,True,True,True,True,True,drugB
32,True,True,True,True,True,drugX
33,True,True,True,True,True,DrugY
34,True,True,True,True,True,drugX
35,True,True,True,True,True,drugX
36,True,True,True,True,True,drugA
37,True,True,True,True,True,drugX
38,True,True,True,True,True,drugX
39,True,True,True,True,True,drugX
40,True,True,True,True,True,DrugY
41,True,True,True,True,True,drugB
42,True,True,True,True,True,DrugY
43,True,True,True,True,True,drugX
44,True,True,True,True,True,drugX
45,True,True,True,True,True,drugX
46,True,True,True,True,True,drugA
47,True,True,True,True,True,drugC
48,True,True,True,True,True,DrugY
49,True,True,True,True,True,DrugY
50,True,True,True,True,True,DrugY
51,True,True,True,True,True,drugX
52,True,True,True,True,True,DrugY
53,True,True,True,True,True,DrugY
54,True,True,True,True,True,drugB
55,True,True,True,True,True,drugC
56,True,True,True,True,True,drugB
57,True,True,True,True,True,DrugY
58,True,True,True,True,True,drugX
59,True,True,True,True,True,DrugY
60,True,True,True,True,True,DrugY
61,True,True,True,True,True,drugA
62,True,True,True,True,True,DrugY
63,True,True,True,True,True,drugX
64,True,True,True,True,True,drugB
65,True,True,True,True,True,DrugY
66,True,True,True,True,True,drugA
67,True,True,True,True,True,drugX
68,True,True,True,True,True,DrugY
69,True,True,True,True,True,DrugY
70,True,True,True,True,True,drugB
71,True,True,True,True,True,DrugY
72,True,True,True,True,True,drugX
73,True,True,True,True,True,DrugY
74,True,True,True,True,True,DrugY
75,True,True,True,True,True,DrugY
76,True,True,True,True,True,drugA
77,True,True,True,True,True,DrugY
78,True,True,True,True,True,drugA
79,True,True,True,True,True,drugX
80,True,True,True,True,True,drugB
81,True,True,True,True,True,drugX
82,True,True,True,True,True,drugC
83,True,True,True,True,True,drugA
84,True,True,True,True,True,drugC
85,True,True,True,True,True,drugB
86,True,True,True,True,True,drugX
87,True,True,True,True,True,DrugY
88,True,True,True,True,True,DrugY
89,True,True,True,True,True,DrugY
90,True,True,True,True,True,DrugY
91,True,True,True,True,True,DrugY
92,True,True,True,True,True,DrugY
93,True,True,True,True,True,DrugY
94,True,True,True,True,True,DrugY
95,True,True,True,True,True,drugX
96,True,True,True,True,True,DrugY
97,True,True,True,True,True,DrugY
98,True,True,True,True,True,DrugY
99,True,True,True,True,True,DrugY
100,True,True,True,True,True,drugA
101,True,True,True,True,True,drugA
102,True,True,True,True,True,drugC
103,True,True,True,True,True,drugX
104,True,True,True,True,True,DrugY
105,True,True,True,True,True,drugX
106,True,True,True,True,True,drugX
107,True,True,True,True,True,DrugY
108,True,True,True,True,True,drugB
109,True,True,True,True,True,DrugY
110,True,True,True,True,True,drugA
111,True,True,True,True,True,drugX
112,True,True,True,True,True,drugX
113,True,True,True,True,True,drugX
114,True,True,True,True,True,drugX
115,True,True,True,True,True,DrugY
116,True,True,True,True,True,drugX
117,True,True,True,True,True,drugX
118,True,True,True,True,True,drugA
119,True,True,True,True,True,DrugY
120,True,True,True,True,True,DrugY
121,True,True,True,True,True,DrugY
122,True,True,True,True,True,DrugY
123,True,True,True,True,True,DrugY
124,True,True,True,True,True,drugB
125,True,True,True,True,True,DrugY
126,True,True,True,True,True,DrugY
127,True,True,True,True,True,drugX
128,True,True,True,True,True,DrugY
129,True,True,True,True,True,drugX
130,True,True,True,True,True,DrugY
131,True,True,True,True,True,DrugY
132,True,True,True,True,True,drugX
133,True,True,True,True,True,DrugY
134,True,True,True,True,True,DrugY
135,True,True,True,True,True,drugX
136,True,True,True,True,True,drugB
137,True,True,True,True,True,drugA
138,True,True,True,True,True,drugB
139,True,True,True,True,True,drugX
140,True,True,True,True,True,drugA
141,True,True,True,True,True,DrugY
142,True,True,True,True,True,drugB
143,True,True,True,True,True,DrugY
144,True,True,True,True,True,drugA
145,True,True,True,True,True,drugX
146,True,True,True,True,True,drugX
147,True,True,True,True,True,drugA
148,True,True,True,True,True,drugX
149,True,True,True,True,True,drugC
150,True,True,True,True,True,drugA
151,True,True,True,True,True,drugB
152,True,True,True,True,True,drugX
153,True,True,True,True,True,drugX
154,True,True,True,True,True,DrugY
155,True,True,True,True,True,drugC
156,True,True,True,True,True,drugA
157,True,True,True,True,True,DrugY
158,True,True,True,True,True,drugC
159,True,True,True,True,True,drugX
160,True,True,True,True,True,drugX
161,True,True,True,True,True,drugB
162,True,True,True,True,True,drugX
163,True,True,True,True,True,DrugY
164,True,True,True,True,True,DrugY
165,True,True,True,True,True,DrugY
166,True,True,True,True,True,DrugY
167,True,True,True,True,True,drugX
168,True,True,True,True,True,DrugY
169,True,True,True,True,True,drugA
170,True,True,True,True,True,drugX
171,True,True,True,True,True,drugX
172,True,True,True,True,True,DrugY
173,True,True,True,True,True,DrugY
174,True,True,True,True,True,drugA
175,True,True,True,True,True,DrugY
176,True,True,True,True,True,drugA
177,True,True,True,True,True,DrugY
178,True,True,True,True,True,DrugY
179,True,True,True,True,True,DrugY
180,True,True,True,True,True,DrugY
181,True,True,True,True,True,drugX
182,True,True,True,True,True,drugX
183,True,True,True,True,True,DrugY
184,True,True,True,True,True,DrugY
185,True,True,True,True,True,DrugY
186,True,True,True,True,True,drugB
187,True,True,True,True,True,drugA
188,True,True,True,True,True,DrugY
189,True,True,True,True,True,DrugY
190,True,True,True,True,True,DrugY
191,True,True,True,True,True,drugA
192,True,True,True,True,True,DrugY
193,True,True,True,True,True,drugC
194,True,True,True,True,True,DrugY
195,True,True,True,True,True,drugC
196,True,True,True,True,True,drugC
197,True,True,True,True,True,drugX
198,True,True,True,True,True,drugX
199,True,True,True,True,True,drugX
